task_id,idx,worker_name,gpu_type,queue_wait_ms,inference_ms,total_ms,e2e_ms,fg_voxels
S1_full_t000,0,master-3050ti,rtx-3050ti-mobile,47,73926,74675,74721,5
S1_full_t001,1,master-3050ti,rtx-3050ti-mobile,74730,73916,74699,149422,5
S1_full_t002,2,master-3050ti,rtx-3050ti-mobile,149437,74048,74751,224186,5
S1_full_t003,3,master-3050ti,rtx-3050ti-mobile,224184,75349,76188,300380,5
S1_full_t004,4,master-3050ti,rtx-3050ti-mobile,300391,75633,76343,376729,5
S1_full_t005,5,master-3050ti,rtx-3050ti-mobile,376737,75964,76702,453436,5
S1_full_t006,6,master-3050ti,rtx-3050ti-mobile,453453,75767,76503,529942,5
S1_full_t007,7,master-3050ti,rtx-3050ti-mobile,529957,76299,77029,606988,5
S1_full_t008,8,master-3050ti,rtx-3050ti-mobile,607016,75694,76447,683449,5
S1_full_t009,9,master-3050ti,rtx-3050ti-mobile,683465,75732,76447,759914,5
S1_full_t010,10,master-3050ti,rtx-3050ti-mobile,759916,76063,76833,836755,5
S1_full_t011,11,master-3050ti,rtx-3050ti-mobile,836765,75971,76731,913494,5
S1_full_t012,12,master-3050ti,rtx-3050ti-mobile,913504,76286,77089,990579,5
S1_full_t013,13,master-3050ti,rtx-3050ti-mobile,990597,76787,77519,1068117,5
S1_full_t014,14,master-3050ti,rtx-3050ti-mobile,1068116,76790,77665,1145788,5
S1_full_t015,15,master-3050ti,rtx-3050ti-mobile,1145790,76579,77363,1223158,5
S1_full_t016,16,master-3050ti,rtx-3050ti-mobile,1223169,76806,77529,1300684,5
S1_full_t017,17,master-3050ti,rtx-3050ti-mobile,1300706,77429,78222,1378915,5
S1_full_t018,18,master-3050ti,rtx-3050ti-mobile,1378938,77005,77742,1456679,5
S1_full_t019,19,master-3050ti,rtx-3050ti-mobile,1456687,76608,77468,1534155,5
S1_full_t020,20,master-3050ti,rtx-3050ti-mobile,1534176,76600,77384,1611552,5
S1_full_t021,21,master-3050ti,rtx-3050ti-mobile,1611567,76842,77651,1689216,5
S1_full_t022,22,master-3050ti,rtx-3050ti-mobile,1689221,76539,77279,1766503,5
S1_full_t023,23,master-3050ti,rtx-3050ti-mobile,1766505,76607,77330,1843844,5
S1_full_t024,24,master-3050ti,rtx-3050ti-mobile,1843843,76662,77409,1921258,5
S1_full_t025,25,master-3050ti,rtx-3050ti-mobile,1921273,76747,77597,1998866,5
S1_full_t026,26,master-3050ti,rtx-3050ti-mobile,1998866,77924,78713,2077590,5
S1_full_t027,27,master-3050ti,rtx-3050ti-mobile,2077598,85232,86341,2163938,5
S1_full_t028,28,master-3050ti,rtx-3050ti-mobile,2163945,83775,84971,2248915,5
S1_full_t029,29,master-3050ti,rtx-3050ti-mobile,2248930,81677,82700,2331625,5
# wallclock_sec,2331.63
# throughput_per_min,0.772
